,sample,cell,sampleType,isolation,condition
s1,s1,ATII,organoids,3DLD,organoids_3DLD
s2,s2,ATII,organoids,Classic,organoids_Classic
s3,s3,ATII,organoids,3DLD,organoids_3DLD
s4,s4,ATII,organoids,Classic,organoids_Classic
s5,s5,ATII,organoids,3DLD,organoids_3DLD
s6,s6,ATII,organoids,Classic,organoids_Classic
s7,s7,ATII,pellet,Classic,pellet_Classic
s8,s8,ATII,pellet,Classic,pellet_Classic
s9,s9,ATII,pellet,Classic,pellet_Classic
s10,s10,ATII,pellet,3DLD,pellet_3DLD
s11,s11,ATII,pellet,3DLD,pellet_3DLD
s12,s12,ATII,pellet,3DLD,pellet_3DLD
s13,s13,MTEC,ALI,MTEC,ALI_MTEC
s14,s14,MTEC,ALI,MTEC,ALI_MTEC
s15,s15,MTEC,ALI,MTEC,ALI_MTEC
s16,s16,MTEC,pellet,MTEC,pellet_MTEC
s17,s17,MTEC,pellet,MTEC,pellet_MTEC
s18,s18,MTEC,pellet,MTEC,pellet_MTEC
